type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.100815144	120.813229845	405.5	#ff0000	1.00	1.5	Mt. Batualo		Mt. Batualo.kml
T	14.100810838	120.812402928	401.5						
T	14.100805454	120.811369282	397.3						
T	14.100599551	120.810336747	393.3						
T	14.100394727	120.809510944	389.2						
T	14.100390414	120.808684030	385.0						
T	14.099983991	120.807652615	377.5						
T	14.099779160	120.806826818	373.5						
T	14.099373816	120.806002139	370.2						
T	14.099168984	120.805176347	365.7						
T	14.098762558	120.804144947	367.2						
T	14.098357209	120.803320279	365.7						
T	14.097751349	120.802496734	365.9						
T	14.097347083	120.801878799	365.9						
T	14.096741224	120.801055263	363.8						
T	14.096136444	120.800438457	359.3						
T	14.095531668	120.799821655	354.6						
T	14.094926892	120.799204857	349.9						
T	14.094520460	120.798173491	349.0						
T	14.093915685	120.797556699	345.2						
T	14.093710840	120.796730935	340.3						
T	14.093505993	120.795905172	327.4						
T	14.093501654	120.795078279	321.5						
T	14.093096298	120.794253646	324.1						
T	14.093090868	120.793220029	312.0						
T	14.092684419	120.792188673	305.8						
T	14.092478475	120.791156185	315.0						
T	14.092272531	120.790123696	315.2						
T	14.092068758	120.789504656	312.4						
T	14.091662301	120.788473302	307.5						
T	14.091255839	120.787441948	302.3						
T	14.090850466	120.786617323	303.7						
T	14.090645596	120.785791556	301.6						
T	14.090441815	120.785172517	299.5						
T	14.090036437	120.784347890	293.7						
T	14.089830469	120.783315396	290.3						
T	14.089224578	120.782491912	285.2						
T	14.088819191	120.781667288	279.5						
T	14.088208918	120.780016892	273.4						
T	14.087603016	120.779193412	274.7						
T	14.087395935	120.777954178	268.3						
T	14.086790028	120.777130698	263.8						
T	14.086588424	120.776925116	262.4						
T	14.085578206	120.775483741	256.5						
T	14.084368573	120.774250252	245.0						
T	14.083762655	120.773426775	246.8						
T	14.082957328	120.772811184	243.9						
T	14.082352506	120.772194442	241.4						
T	14.081747682	120.771577701	238.4						
T	14.081342258	120.770753073	229.5						
T	14.080737429	120.770136332	232.8						
T	14.080131494	120.769312857	227.1						
T	14.079526661	120.768696116	225.1						
