type	latitude	longitude	altitude (m)	color	opacity	name	desc	kml_folder
T	14.061140613	120.792054628	397.0	#ff0000	1.00	Topo Based KMZ Contours		Topo Based KMZ Contours.kmz
T	14.061133678	120.791959471	397.8					
T	14.061092053	120.791833836	399.3					
T	14.061080497	120.791675266	400.8					
T	14.061071252	120.791548409	405.4					
T	14.061059696	120.791389839	411.5					
T	14.061080513	120.791229940	417.1					
T	14.061068955	120.791071347	423.2					
T	14.061059709	120.790944473	428.1					
T	14.061082841	120.790816209	432.7					
T	14.061073594	120.790689317	439.1					
T	14.061094418	120.790529270	446.8					
T	14.061085170	120.790402359	453.2					
T	14.061075921	120.790275449	459.6					
T	14.061064361	120.790116811	467.6					
T	14.061055113	120.789989901	474.0					
T	14.061045864	120.789862991	481.9					
T	14.061034304	120.789704354	491.8					
T	14.060990371	120.789547293	502.1					
T	14.060981124	120.789420402	510.1					
T	14.060969565	120.789261788	520.3					
T	14.060962630	120.789166620	526.4					
T	14.060946449	120.788944562	535.8					
T	14.060902535	120.788787635	544.2					
T	14.060826299	120.788632464	554.7					
T	14.060817057	120.788505630	560.9					
T	14.060907151	120.788405279	560.6					
T	14.060897904	120.788278389	563.3					
T	14.060853998	120.788121561	563.3					
T	14.060812415	120.787996492	562.5					
T	14.060768534	120.787839751	560.4					
T	14.060694670	120.787716602	559.8					
T	14.060590883	120.787627069	561.0					
T	14.060489493	120.787569286	562.8					
T	14.060353676	120.787481770	565.2					
T	14.060250189	120.787392471	564.8					
T	14.060082518	120.787307045	566.2					
T	14.059889922	120.787318415	564.5					
T	14.059759411	120.787294414	558.3					
T	14.059567377	120.787305778	551.2					
T	14.059343760	120.787319012	543.1					
T	14.059282248	120.787354290	542.7					
T	14.059097927	120.787459999	541.5					
T	14.059072971	120.787556272	544.9					
T	14.059023079	120.787748734	550.4					
T	14.058968633	120.787878184	553.6					
T	14.058914219	120.788007558	557.3					
T	14.058857546	120.788105424	559.8					
T	14.058868997	120.788262588	567.1					
T	14.058907640	120.788355153	570.2					
T	14.059046277	120.788505490	566.2					
T	14.059089557	120.788661078	559.4					
T	14.059101019	120.788818379	551.8					
T	14.059046551	120.788947519	545.6					
T	14.058994405	120.789108027	538.7					
T	14.058967198	120.789172527	536.1					
T	14.058980942	120.789361152	528.1					
T	14.058962903	120.789551339	520.3					
T	14.058972065	120.789677071	514.9					
T	14.058978936	120.789771371	510.9					
T	14.058988098	120.789897103	505.6					
T	14.059004131	120.790117136	495.7					
T	14.059047374	120.790272846	488.1					
T	14.059061119	120.790461473	479.2					
T	14.059070282	120.790587225	473.2					
T	14.059081736	120.790744416	465.8					
T	14.059152232	120.790835980	461.0					
T	14.059163689	120.790993216	455.6					
T	14.059238813	120.791147793	449.0					
T	14.059252566	120.791336531	442.4					
T	14.059330031	120.791522718	434.4					
T	14.059341495	120.791680046	428.9					
T	14.059346081	120.791742978	427.4					
T	14.059327974	120.791932989	423.6					
T	14.059307579	120.792091488	420.4					
T	14.059253059	120.792219665	418.3					
T	14.059266808	120.792408351	413.8					
T	14.059150983	120.792570084	412.9					
T	14.059064775	120.792699114	413.2					
T	14.059037582	120.792763041	413.3					
T	14.059080800	120.792919026	412.4					
T	14.058990083	120.792985046	413.1					
T	14.058867725	120.793052060	414.2					
T	14.058745508	120.793118996	415.4					
T	14.058621148	120.793154507	416.8					
T	14.058463047	120.793159681	418.5					
T	14.058363733	120.793100159	419.7					
T	14.058259943	120.792978092	420.6					
T	14.058187761	120.792855054	421.4					
T	14.058147126	120.792730992	422.0					
T	14.058104223	120.792575687	422.8					
T	14.058068170	120.792514253	423.5					
T	14.058023013	120.792327753	427.4					
T	14.057946405	120.792142486	431.8					
T	14.057867565	120.791926073	436.7					
T	14.057858456	120.791801063	439.1					
T	14.057844793	120.791613548	443.5					
T	14.057853458	120.791299723	454.3					
T	14.057842071	120.791143437	459.8					
T	14.057830683	120.790987153	465.3					
T	14.057846181	120.790766979	473.4					
T	14.057866239	120.790609273	480.2					
T	14.057886303	120.790451521	487.1					
T	14.057908652	120.790324999	492.6					
