type	latitude	longitude	altitude (m)	color	opacity	name	desc	kml_folder
T	14.061964173	120.786112722	476.4	#ff0000	1.00	Tuy3		Topo_Tuy.kmz
T	14.061964174	120.786191234	476.8					
T	14.061989562	120.786322086	476.3					
T	14.061989562	120.786452938	476.9					
T	14.061989562	120.786557620	477.4					
T	14.061989563	120.786662302	477.9					
T	14.061989563	120.786740814	479.4					
T	14.061989564	120.786897836	482.5					
T	14.061989564	120.787028689	485.1					
T	14.061989565	120.787159541	487.7					
T	14.061989565	120.787316564	490.8					
T	14.061989566	120.787447416	493.5					
T	14.061989567	120.787578269	494.7					
T	14.061989567	120.787709121	494.9					
T	14.061989568	120.787839974	495.2					
T	14.061964181	120.787944656	496.5					
T	14.061989569	120.788049338	495.6					
T	14.061989569	120.788180191	495.9					
T	14.061989570	120.788311043	496.2					
T	14.061989571	120.788441896	497.4					
T	14.061989572	120.788598919	499.1					
T	14.061989572	120.788729772	500.6					
T	14.061989573	120.788860625	502.0					
T	14.061989574	120.788991478	503.5					
T	14.061989574	120.789096160	504.6					
T	14.061989575	120.789279354	500.2					
T	14.061989576	120.789357866	496.5					
T	14.061938801	120.789488718	491.2					
T	14.061837252	120.789567228	488.9					
T	14.061735702	120.789593396	489.0					
T	14.061634152	120.789593393	490.4					
T	14.061532603	120.789619561	490.4					
T	14.061431053	120.789645729	490.3					
T	14.061304117	120.789645726	491.9					
T	14.061202567	120.789619553	494.8					
T	14.061101018	120.789541040	500.9					
T	14.061024856	120.789462527	506.8					
T	14.060948694	120.789357843	514.6					
T	14.060923306	120.789253162	521.7					
T	14.060872532	120.789148479	529.0					
T	14.060847144	120.789043797	534.5					
T	14.060847144	120.788912946	540.7					
T	14.060796369	120.788808264	546.8					
T	14.060796369	120.788729753	550.5					
T	14.060770981	120.788598901	557.1					
T	14.060745593	120.788468050	563.7					
T	14.060745593	120.788337198	569.9					
T	14.060694818	120.788206347	568.4					
T	14.060694818	120.788075496	566.1					
T	14.060669430	120.787918474	563.9					
T	14.060669429	120.787787623	561.6					
T	14.060669429	120.787656772	559.4					
T	14.060669428	120.787525921	557.2					
T	14.060669428	120.787368900	552.5					
T	14.060669427	120.787264220	549.2					
T	14.060593266	120.787133369	546.9					
T	14.060542491	120.786950178	542.0					
T	14.060567878	120.786845497	538.0					
T	14.060618651	120.786714646	532.7					
T	14.060644038	120.786609966	529.5					
T	14.060644038	120.786505285	527.3					
T	14.060669424	120.786348264	523.9					
T	14.060644037	120.786243584	521.9					
T	14.060567875	120.786165074	520.3					
T	14.060466327	120.786112734	518.8					
T	14.060364779	120.786086565	517.8					
T	14.060263232	120.786060396	516.5					
T	14.060161684	120.786034226	515.0					
T	14.060060136	120.786034227	514.5					
T	14.059958589	120.786060398	513.5					
T	14.059857043	120.786112739	511.1					
T	14.059780882	120.786191249	510.9					
T	14.059704722	120.786269760	510.5					
T	14.059628562	120.786348270	509.9					
T	14.059577789	120.786452950	511.4					
T	14.059552403	120.786557630	514.1					
T	14.059501630	120.786662309	515.3					
T	14.059425470	120.786793159	518.1					
T	14.059374698	120.786897839	521.2					
T	14.059349312	120.787002518	525.7					
T	14.059349312	120.787159537	534.5					
T	14.059349313	120.787316557	543.2					
T	14.059349313	120.787447406	550.4					
T	14.059349314	120.787604425	556.4					
T	14.059349314	120.787761445	560.9					
T	14.059349315	120.787866124	563.9					
T	14.059323929	120.788101653	570.5					
T	14.059323929	120.788258673	575.1					
T	14.059323930	120.788415692	573.3					
T	14.059323930	120.788520372	568.1					
T	14.059349317	120.788651222	561.7					
T	14.059400090	120.788782073	555.6					
T	14.059400090	120.788912922	549.2					
T	14.059400091	120.789069942	541.5					
T	14.059400091	120.789200792	535.2					
T	14.059400091	120.789357812	528.0					
T	14.059425478	120.789410153	525.8					
T	14.059501639	120.789567175	518.8					
T	14.059501639	120.789671855	513.8					
T	14.059501639	120.789828876	506.2					
T	14.059501639	120.789959726	499.9					
T	14.059501640	120.790116747	492.0					
T	14.059527027	120.790247599	485.0					
T	14.059476253	120.790352278	480.1					
T	14.059400093	120.790430786	477.0					
T	14.059298547	120.790483124	475.7					
T	14.059197000	120.790535461	474.5					
T	14.059120840	120.790640140	470.4					
T	14.058993907	120.790640136	471.3					
T	14.058866974	120.790640132	472.2					
T	14.058790814	120.790640130	472.7					
T	14.058663881	120.790587787	476.1					
T	14.058562335	120.790509274	480.5					
T	14.058486176	120.790404592	486.0					
T	14.058435403	120.790273741	492.5					
T	14.058410016	120.790169061	497.5					
T	14.058384630	120.790090550	501.4					
T	14.058359244	120.789959700	507.6					
T	14.058359244	120.789855020	512.4					
T	14.058333857	120.789802680	515.0					
T	14.058333857	120.789593322	524.5					
T	14.058333857	120.789488642	529.3					
T	14.058333857	120.789357793	535.3					
T	14.058333857	120.789253114	540.1					
T	14.058333857	120.789043756	546.1					
T	14.058333857	120.788886737	548.7					
T	14.058333857	120.788755888	550.9					
T	14.058359243	120.788651210	552.9					
T	14.058384628	120.788546531	555.1					
T	14.058410015	120.788415682	558.1					
T	14.058410014	120.788284834	557.0					
T	14.058410014	120.788153985	549.6					
T	14.058410013	120.787918458	536.2					
T	14.058410013	120.787761439	527.3					
T	14.058384626	120.787630591	518.8					
T	14.058384626	120.787473573	510.0					
T	14.058384626	120.787342724	503.5					
T	14.058384625	120.787185706	495.7					
T	14.058384625	120.787028688	487.8					
T	14.058384624	120.786924010	482.6					
T	14.058384624	120.786819331	477.4					
T	14.058384624	120.786714652	472.2					
T	14.058384623	120.786557634	466.0					
T	14.058308464	120.786374447	457.6					
T	14.058308463	120.786217429	452.2					
T	14.058257690	120.786034242	445.5					
T	14.058232303	120.785877224	440.0					
T	14.058206916	120.785746376	436.5					
T	14.058181529	120.785641698	434.1					
T	14.058130756	120.785537020	431.4					
T	14.058029210	120.785458512	428.5					
T	14.057927665	120.785458513	427.4					
T	14.057826120	120.785458515	426.4					
T	14.057724575	120.785510855	426.8					
T	14.057699190	120.785615533	429.6					
T	14.057648418	120.785720212	432.3					
T	14.057597646	120.785851060	436.0					
T	14.057546874	120.785981908	439.7					
T	14.057496103	120.786112756	443.4					
T	14.057496103	120.786322112	449.7					
T	14.057470718	120.786479129	455.0					
T	14.057470719	120.786662316	460.6					
T	14.057445333	120.786766994	464.8					
T	14.057419947	120.786976350	472.7					
T	14.057394562	120.787159536	479.9					
T	14.057394562	120.787316553	485.4					
T	14.057369176	120.787447400	490.9					
T	14.057369176	120.787578248	497.1					
T	14.057369177	120.787709095	504.5					
T	14.057369177	120.787892282	514.9					
T	14.057369177	120.788101638	526.8					
T	14.057394564	120.788232486	533.7					
T	14.057394564	120.788415673	540.5					
T	14.057445336	120.788572690	541.7					
T	14.057445336	120.788703538	543.2					
T	14.057445337	120.788834386	544.8					
T	14.057445337	120.789017573	547.0					
T	14.057419950	120.789148421	548.9					
T	14.057419950	120.789279269	543.7					
T	14.057419950	120.789410117	537.3					
T	14.057419950	120.789540965	530.9					
T	14.057419950	120.789697983	523.2					
T	14.057419950	120.789855001	515.6					
T	14.057419950	120.789985850	509.2					
T	14.057419949	120.790116699	503.6					
T	14.057394563	120.790195207	500.5					
T	14.057343790	120.790352225	494.4					
T	14.057318404	120.790456903	490.3					
T	14.057267631	120.790561581	486.4					
T	14.057216858	120.790666259	482.5					
T	14.057166086	120.790770936	478.7					
T	14.057140699	120.790901785	474.3					
T	14.057115312	120.791032633	470.5					
T	14.057089926	120.791137312	467.6					
T	14.056988381	120.791215818	466.5					
T	14.056937608	120.791320496	464.0					
T	14.056836063	120.791372833	463.8					
T	14.056709132	120.791372829	465.5					
T	14.056607587	120.791398996	465.6					
T	14.056480657	120.791398992	466.0					
T	14.056379112	120.791398990	466.3					
T	14.056277568	120.791294308	469.3					
T	14.056277569	120.791215799	471.3					
T	14.056252184	120.791084950	474.7					
T	14.056226799	120.790901762	479.3					
T	14.056226799	120.790823252	481.4					
T	14.056176028	120.790718573	485.5					
T	14.056176028	120.790587725	490.6					
T	14.056176029	120.790456877	495.7					
T	14.056150643	120.790326029	500.9					
T	14.056150644	120.790169012	507.0					
T	14.056150645	120.790038164	512.1					
T	14.056150645	120.789802639	524.0					
T	14.056150646	120.789724131	528.2					
T	14.056150646	120.789593284	535.0					
T	14.056125260	120.789540944	537.8					
T	14.056099875	120.789383928	545.9					
T	14.056049103	120.789226910	553.9					
T	14.055998332	120.789069894	554.4					
T	14.055998332	120.788939047	551.2					
T	14.055998332	120.788782031	547.4					
T	14.055972946	120.788651184	543.8					
T	14.055972946	120.788389491	537.3					
T	14.055972946	120.788284814	534.2					
T	14.055972946	120.788075460	527.2					
T	14.055972946	120.787892275	521.1					
T	14.055972946	120.787813767	518.5					
T	14.055972946	120.787578244	510.6					
T	14.055947560	120.787395059	503.7					
T	14.055947559	120.787211874	496.9					
T	14.055947559	120.787054859	491.1					
T	14.055896787	120.786924013	485.8					
T	14.055846015	120.786793167	480.6					
T	14.055846014	120.786636152	475.2					
T	14.055846014	120.786505306	471.6					
T	14.055846013	120.786322121	466.5					
T	14.055846012	120.786112768	460.7					
T	14.055846011	120.785955752	456.3					
T	14.055846010	120.785798737	453.7					
T	14.055846010	120.785694060	456.2					
T	14.055846009	120.785537045	459.9					
T	14.055820622	120.785380030	464.4					
T	14.055795235	120.785196846	469.9					
T	14.055795233	120.785013661	474.3					
T	14.055795232	120.784882815	477.1					
T	14.055769846	120.784751969	480.8					
T	14.055744459	120.784594954	484.8					
T	14.055719071	120.784359431	490.0					
T	14.055668298	120.784228585	493.3					
T	14.055617525	120.784150078	494.8					
T	14.055566753	120.784071571	493.7					
T	14.055465208	120.783940727	491.4					
T	14.055363664	120.783862221	489.8					
T	14.055262120	120.783862223	490.2					
T	14.055135192	120.783914564	492.6					
T	14.055033649	120.783993074	496.4					
T	14.054957493	120.784071583	499.2					
T	14.054855951	120.784202430	501.6					
T	14.054830567	120.784359446	502.8					
T	14.054779797	120.784516461	504.0					
T	14.054729027	120.784647308	505.4					
T	14.054703642	120.784804323	507.6					
T	14.054652873	120.785013676	510.8					
T	14.054652874	120.785223028	509.4					
T	14.054652876	120.785406212	508.2					
T	14.054652877	120.785589395	507.0					
T	14.054627492	120.785798747	506.9					
T	14.054627493	120.785955762	506.8					
T	14.054627494	120.786191283	507.0					
T	14.054652881	120.786348297	506.0					
T	14.054652881	120.786426804	506.1					
T	14.054678267	120.786531480	505.1					
T	14.054703654	120.786740832	504.1					
T	14.054729040	120.786924015	503.1					
T	14.054729040	120.787081029	503.1					
T	14.054729041	120.787238043	503.2					
T	14.054729041	120.787395058	503.2					
T	14.054754427	120.787499734	502.8					
T	14.054754427	120.787630579	506.5					
T	14.054754427	120.787813763	511.6					
T	14.054779813	120.787970777	515.7					
T	14.054805199	120.788127792	519.8					
T	14.054805198	120.788284806	524.2					
T	14.054830584	120.788441821	529.9					
T	14.054855969	120.788651174	538.6					
T	14.054855969	120.788755851	543.1					
T	14.054855969	120.788860527	547.6					
T	14.054906740	120.788991374	552.6					
T	14.054932126	120.789069881	555.6					
T	14.054957510	120.789305404	556.4					
T	14.054957510	120.789462420	553.0					
T	14.054957509	120.789619435	549.5					
T	14.054957508	120.789802620	545.5					
T	14.054957507	120.790011974	540.6					
T	14.054957506	120.790168990	533.7					
T	14.054982891	120.790273668	528.9					
T	14.055033662	120.790378346	523.2					
T	14.055059048	120.790509194	516.7					
T	14.055084433	120.790587702	512.5					
T	14.055084431	120.790797057	503.3					
T	14.055084430	120.790927905	499.1					
T	14.055109815	120.791084922	494.2					
T	14.055109814	120.791189600	491.4					
T	14.055109813	120.791320448	487.8					
T	14.055109812	120.791451295	484.3					
T	14.055109809	120.791686821	477.9					
T	14.055135194	120.791791500	474.3					
T	14.055135193	120.791870009	472.0					
T	14.055160578	120.791974689	468.4					
T	14.055160576	120.792157877	463.1					
T	14.055211346	120.792367236	456.5					
T	14.055236730	120.792524256	453.0					
T	14.055236729	120.792628934	455.6					
T	14.055211342	120.792681273	457.2					
T	14.055084411	120.792759779	460.4					
T	14.054982866	120.792812115	462.7					
T	14.054881322	120.792864451	464.9					
T	14.054754392	120.792864447	466.1					
T	14.054627462	120.792864443	467.4					
T	14.054500532	120.792864439	468.6					
T	14.054322831	120.792864433	470.4					
T	14.054195902	120.792812090	471.4					
T	14.054119745	120.792759749	472.5					
T	14.053967430	120.792707405	475.7					
T	14.053865888	120.792628893	478.2					
T	14.053764345	120.792576551	481.0					
T	14.053688189	120.792498040	483.7					
